year,projected_sst
2015,20.131922
2016,20.037573
2017,20.163242
2018,20.096928
2019,20.130924
2020,20.174217
2021,20.320284
2022,20.306532
2023,20.368906
2024,20.216581
2025,20.161964
2026,20.210293
2027,20.109648
2028,20.112469
2029,20.421604
2030,20.28293
2031,20.303467
2032,20.193892
2033,20.384398
2034,20.50227
2035,20.251152
2036,20.27058
2037,20.389952
2038,20.476772
2039,20.458921
2040,20.237614
2041,20.271448
2042,20.246103
2043,20.47049
2044,20.291494
2045,20.212652
2046,20.323023
2047,20.160482
2048,20.268309
2049,20.325392
2050,20.174538
2051,20.325167
2052,20.19905
2053,20.11524
2054,20.234095
2055,20.37115
2056,20.339396
2057,20.450829
2058,20.236778
2059,20.320986
2060,20.462257
2061,20.340996
2062,20.324903
2063,20.279596
2064,20.341473
2065,20.326939
2066,20.44705
2067,20.41796
2068,20.372051
2069,20.419525
2070,20.40224
2071,20.25617
2072,20.219767
2073,20.194645
2074,20.225399
2075,20.197264
2076,19.957016
2077,20.38808
2078,20.30953
2079,20.228785
2080,20.246422
2081,20.006905
2082,20.27937
2083,20.264534
2084,20.263165
2085,20.281218
2086,20.14588
2087,20.174046
2088,20.251604
2089,20.381124
2090,20.244684
2091,20.312943
2092,20.204582
2093,20.167742
2094,20.017183
2095,19.96506
2096,20.053581
2097,20.131214
2098,20.085512
2099,20.104609
2100,20.343174
