year,projected_sst
2015,20.026674
2016,20.09956
2017,20.032963
2018,20.185686
2019,20.315163
2020,20.12664
2021,20.166355
2022,20.261845
2023,20.488707
2024,20.251535
2025,20.343517
2026,20.462107
2027,20.440767
2028,20.356806
2029,20.315693
2030,20.384914
2031,20.344091
2032,20.23825
2033,20.228191
2034,20.290876
2035,20.223457
2036,20.208822
2037,20.247854
2038,20.37641
2039,20.462465
2040,20.408192
2041,20.383726
2042,20.214163
2043,20.110924
2044,20.289728
2045,20.313532
2046,20.225147
2047,20.459099
2048,20.331955
2049,20.548296
2050,20.659758
2051,20.441025
2052,20.337223
2053,20.509161
2054,20.309196
2055,20.441298
2056,20.394056
2057,20.755157
2058,20.50746
2059,20.506165
2060,20.722141
2061,20.80698
2062,20.59723
2063,20.484339
2064,20.827517
2065,20.525936
2066,20.486115
2067,20.511248
2068,20.551306
2069,20.529232
2070,20.412819
2071,20.780695
2072,20.733694
2073,20.789873
2074,20.713772
2075,20.709751
2076,20.63421
2077,20.98562
2078,20.814837
2079,20.811848
2080,20.920889
2081,20.898352
2082,20.81996
2083,20.919258
2084,20.68398
2085,20.93191
2086,21.181076
2087,20.710962
2088,20.75629
2089,20.859865
2090,20.918066
2091,20.671093
2092,20.827932
2093,20.818115
2094,20.776848
2095,20.918814
2096,20.708086
2097,20.865637
2098,21.102274
2099,20.79577
2100,21.065557
